授業科目,単位,学年,種別1,種別2,種別3,種別4,除外
国語1,2,1,必,一般,DP-C,コース共通
国語2,2,2,必,一般,DP-C,コース共通
国語3,2,3,必,一般,DP-C,コース共通
言語と文化,2,4,必,一般,DP-C,コース共通,1
社会1,2,1,必,一般,DP-A,コース共通
社会2,2,2,必,一般,DP-A,コース共通
社会3,2,3,必,一般,DP-A,コース共通
現代社会論,2,4,必,一般,DP-A,コース共通
法律,2,5,選,一般,DP-A,コース共通,1
経済,2,5,選,一般,DP-A,コース共通,1
哲学,2,5,選,一般,DP-A,コース共通,1
心理学,2,5,選,一般,DP-A,コース共通,1
基礎数学A,2,1,必,一般,DP-B,コース共通
基礎数学B,2,1,必,一般,DP-B,コース共通
基礎数学C,2,1,必,一般,DP-B,コース共通
微分積分1,2,2,必,一般,DP-B,コース共通
微分積分2,2,2,必,一般,DP-B,コース共通
ベクトル・行列,2,2,必,一般,DP-B,コース共通
解析1,2,3,必,一般,DP-B,コース共通
解析2,2,3,必,一般,DP-B,コース共通
線形代数・微分方程式,2,3,必,一般,DP-B,コース共通
確率統計,2,4,必,一般,DP-B,コース共通
基礎物理1,2,1,必,一般,DP-B,コース共通
基礎物理2,2,2,必,一般,DP-B,コース共通
基礎物理3,2,3,必,一般,DP-B,コース共通
現代物理学概論,2,5,選,一般,DP-B,コース共通,1
化学1,3,1,必,一般,DP-B,コース共通
化学2,2,2,必,一般,DP-B,コース共通
生物,2,2,必,一般,DP-B,コース共通
保健・体育1,2,1,必,一般,DP-A,コース共通
保健・体育2,2,2,必,一般,DP-A,コース共通
保健・体育3,2,3,必,一般,DP-A,コース共通
保健・体育4,2,4,必,一般,DP-A,コース共通
英語1,2,1,必,一般,DP-C,コース共通
英語2,2,1,必,一般,DP-C,コース共通
英語3,2,2,必,一般,DP-C,コース共通
英語4,2,2,必,一般,DP-C,コース共通
英語5,2,3,必,一般,DP-C,コース共通
英語6,2,4,必,一般,DP-C,コース共通
英語表現1,2,1,必,一般,DP-C,コース共通
英語表現2,2,2,必,一般,DP-C,コース共通
英語表現3,2,3,必,一般,DP-C,コース共通
英語A,2,4,選,一般,DP-C,コース共通,1
英語B,2,4,選,一般,DP-C,コース共通,1
中国語,2,4,選,一般,DP-C,コース共通,1
ドイツ語,2,4,選,一般,DP-C,コース共通,1
美術,2,1,選必,一般,DP-A,コース共通,1
書道,2,1,選必,一般,DP-A,コース共通,1
音楽,2,1,選必,一般,DP-A,コース共通,1
